fish_indiv,date,anem_id,old_anem_id,anem_obs,second_year,later_year
2325,17607,2572,NA,477,NA,NA
2326,16234,421,NA,771,TRUE,NA
2326,16585,876,NA,1019,TRUE,NA
2327,16234,418,NA,1017,TRUE,NA
2327,16585,417,NA,505,TRUE,NA
2386,16228,376,NA,134,NA,NA
2386,16583,1338,NA,134,NA,NA
2330,16244,613,NA,906,TRUE,NA
2330,16587,890,NA,210,TRUE,NA
2466,16584,2002,NA,179,NA,NA
2466,16934,2002,NA,179,NA,NA
2466,16966,2002,NA,179,NA,NA
2466,17621,2002,NA,179,NA,NA
2333,15851,82,NA,NA,NA,NA
2333,16233,394,NA,471,NA,NA
2333,16597,394,NA,471,NA,NA
2333,16961,2560,757,470,NA,NA
2730,16233,395,76,646,TRUE,NA
2730,16597,756,NA,982,TRUE,NA
2338,15856,276,NA,NA,FALSE,FALSE
2338,16234,430,279,779,FALSE,FALSE
2546,16590,1350,NA,139,FALSE,FALSE
2546,16958,2512,NA,NA,FALSE,FALSE
2347,16586,2031,NA,203,FALSE,FALSE
2347,17598,2967,NA,NA,FALSE,FALSE
2414,16595,2137,NA,NA,FALSE,FALSE
2414,16961,2554,NA,468,FALSE,FALSE
2529,16961,2136,NA,246,TRUE,NA
2529,17620,2133,NA,243,TRUE,NA
2412,16597,395,NA,646,FALSE,TRUE
2412,16961,2559,NA,NA,FALSE,TRUE
2413,16597,394,NA,471,TRUE,NA
2413,16961,2560,757,470,TRUE,NA
2399,16597,757,NA,470,NA,NA
2399,16961,2560,757,470,NA,NA
2399,17613,2560,757,470,NA,NA
2358,16234,414,NA,327,TRUE,NA
2358,16585,419,NA,769,TRUE,NA
2358,17304,2624,420,504,TRUE,NA
2358,17594,2238,NA,333,TRUE,NA
2360,16934,2202,NA,298,FALSE,FALSE
2360,17595,2201,NA,297,FALSE,FALSE
2365,16233,406,NA,608,NA,NA
2365,16599,406,NA,608,NA,NA
2431,16584,2013,484,190,TRUE,NA
2431,16934,2014,NA,191,TRUE,NA
2367,15859,326,NA,NA,FALSE,FALSE
2367,16243,543,NA,856,FALSE,FALSE
2368,16233,395,76,646,TRUE,NA
2368,16597,756,NA,982,TRUE,NA
2369,16239,512,NA,NA,NA,NA
2369,16590,2112,NA,NA,NA,NA
2370,16237,462,NA,804,TRUE,NA
2370,16599,464,NA,719,TRUE,NA
2371,16243,542,NA,855,NA,NA
2371,16600,542,NA,855,NA,NA
2372,16233,412,NA,763,FALSE,FALSE
2372,16600,769,NA,NA,FALSE,FALSE
2373,16244,618,NA,NA,FALSE,FALSE
2373,16586,2033,NA,205,FALSE,FALSE
2377,16599,401,NA,278,TRUE,NA
2377,16933,2178,402,276,TRUE,NA
2411,16584,2005,NA,182,NA,NA
2411,16934,2005,NA,182,NA,NA
2379,16244,617,NA,908,TRUE,NA
2379,16586,1105,NA,50,TRUE,NA
2381,16245,635,NA,919,TRUE,NA
2381,16586,2038,890,210,TRUE,NA
2429,16253,129,NA,111,NA,NA
2429,16586,2036,NA,208,NA,NA
2429,16967,2036,NA,208,NA,NA
2724,15851,80,NA,1002,FALSE,TRUE
2724,16233,395,76,646,FALSE,TRUE
2387,16244,619,NA,909,TRUE,NA
2387,16586,1105,NA,50,TRUE,NA
2408,16591,930,NA,452,NA,NA
2408,16958,2505,930,452,NA,NA
2733,16591,930,NA,452,NA,NA
